"time [s]"	"region"	"quantity [kg]"	"flux"	"flux_in"	"flux_out"	"mass"	"source"	"source_in"	"source_out"	"flux_increment"	"source_increment"	"flux_cumulative"	"source_cumulative"	"error"
180	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
180	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
180	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
180	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
180	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	7.62323e-13
190	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
190	"bulk"	"X"	0	0	0	1.32786e-12	0	0	0	0	0	0	0	0
190	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
190	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
190	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
190	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
190	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
190	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
190	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
190	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	8.05885e-13
200	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
200	"bulk"	"X"	0	0	0	1.39964e-12	0	0	0	0	0	0	0	0
200	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
200	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
200	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
200	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
200	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
200	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
200	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
200	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	8.49446e-13
210	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
210	"bulk"	"X"	0	0	0	1.47141e-12	0	0	0	0	0	0	0	0
210	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
210	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
210	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
210	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
210	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
210	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
210	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
210	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	8.93007e-13
220	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
220	"bulk"	"X"	0	0	0	1.54319e-12	0	0	0	0	0	0	0	0
220	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
220	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
220	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
220	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
220	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
220	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
220	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
220	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	9.36569e-13
230	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
230	"bulk"	"X"	0	0	0	1.61497e-12	0	0	0	0	0	0	0	0
230	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
230	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
230	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
230	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
230	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
230	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
230	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
230	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	9.8013e-13
240	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
240	"bulk"	"X"	0	0	0	1.68674e-12	0	0	0	0	0	0	0	0
240	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
240	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
240	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
240	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
240	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
240	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
240	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
240	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	1.02369e-12
250	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
250	"bulk"	"X"	0	0	0	1.75852e-12	0	0	0	0	0	0	0	0
250	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
250	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
250	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
250	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
250	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
250	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
250	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
250	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	1.06725e-12
260	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
260	"bulk"	"X"	0	0	0	1.83029e-12	0	0	0	0	0	0	0	0
260	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
260	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
260	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
260	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
260	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
260	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
260	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
260	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	1.11081e-12
270	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
270	"bulk"	"X"	0	0	0	1.90207e-12	0	0	0	0	0	0	0	0
270	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
270	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
270	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
270	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
270	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
270	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
270	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
270	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	1.15438e-12
280	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
280	"bulk"	"X"	0	0	0	1.97385e-12	0	0	0	0	0	0	0	0
280	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
280	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
280	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
280	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
280	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
280	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
280	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
280	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	1.19794e-12
290	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
290	"bulk"	"X"	0	0	0	2.04562e-12	0	0	0	0	0	0	0	0
290	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
290	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
290	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
290	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
290	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
290	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
